[微笑みの聖女]クラリス,1,11,5,15,10,3,cu,da,60,2557,5823,3299,cu,39,SR
[アタシポンコツアンドロイド]安部菜々,0,9,5,12,10,2,cu,vo,60,6016,3169,3862,cu,39,SR
[つぼみ]一ノ瀬志希,0,11,5,12,10,3,cu,all,20,3929,3240,6047,cu,39,SR
[パフュームトリッパー]一ノ瀬志希,1,6,3,15,10,2,cu,da,60,3761,5818,3094,cu,39,SR
[ピュアリーガール]奥山沙織,2,9,3,0,10,2,cu,skill,30,4329,4498,4357,cu,39,SR
[マジカル☆プリティーハート]横山千佳,1,6,3,15,10,2,cu,da,60,3072,5905,3758,cu,39,SR
[Tulip]宮本フレデリカ,0,11,6,12,10,2,cu,da,60,3147,6103,3860,cu,39,SR
[小悪魔メイド]宮本フレデリカ,1,7,4,15,10,2,cu,da,60,3106,5806,3766,cu,39,SR
[秘めた輝き]原田美世,1,9,4,15,10,3,cu,all,20,4504,3977,4065,cu,39,SR
[スイートクリスマス]五十嵐響子,1,7,4,15,10,2,cu,vi,60,3706,3008,5928,cu,39,SR
[ハッピーマジシャン]工藤忍,1,4,2,15,10,2,cu,vo,60,5917,3752,3063,cu,39,SR
[ファンシーガール]今井加奈,2,11,4,0,10,2,cu,life,20,3751,4570,3888,cu,39,SR
[パステルピンクな恋]三村かな子,1,9,5,15,10,2,cu,da,60,3523,5708,2842,cu,39,SR
[ふわふわスマイル]三村かな子,1,11,6,15,10,2,cu,vo,60,5934,3703,3003,cu,39,SR
[冬のメロディー]緒方智絵里,2,11,4,0,10,2,cu,life,20,4011,3978,4175,cu,43,SR
[パステルピンクな恋]小早川紗枝,0,7,4,12,10,2,cu,vi,60,3270,3936,5949,cu,39,SR
[アタシポンコツアンドロイド]小日向美穂,2,15,5,0,10,2,cu,da,60,3557,5558,2915,cu,39,SR
[はにかみ乙女]小日向美穂,2,12,5,0,10,2,cu,skill,30,4419,4398,4394,cu,39,SR
[クラシカルハーモニー]水本ゆかり,0,11,5,12,10,3,cu,all,20,4323,4402,4803,cu,39,SR
[清純令嬢]水本ゆかり,2,7,2,0,10,3,cu,skill,30,5939,3092,3781,cu,39,SR
[はりきりお嬢様]西園寺琴歌,2,12,4,0,10,2,cu,vo,60,5623,3525,2864,cu,39,SR
[花園の春風]西園寺琴歌,2,7,4,0,10,2,cu,life,20,3985,4373,3909,cu,43,SR
[セクシーキャット]前川みく,1,9,5,15,10,2,cu,vi,60,3792,3145,5755,cu,39,SR
[マジメ／ネコチャン]前川みく,2,9,3,0,10,2,cu,da,60,3807,5888,3134,cu,39,SR
[ロック?ポップMIX]ロック?ポップMIX]早坂美玲,0,11,5,12,10,3,cu,vo,60,6012,2925,3650,cu,39,SR
[ピーチウェーブ]村松さくら,2,9,3,0,10,2,cu,vi,60,3184,3850,5884,cu,39,SR
[ファイティングチアー]中野有香,1,9,5,15,10,2,cu,vi,60,3136,3786,5767,cu,39,SR
[プリティパティシエ]中野有香,2,9,5,0,10,2,cu,skill,30,4329,3899,3969,cu,43,SR
[明日また会えるよね]中野有香,1,9,5,16,10,2,cu,skill,30,4121,4463,4054,cu,39,SR
[ドーナッツ☆マーメイド]椎名法子,0,9,4,12,10,3,cu,vo,60,6004,3613,2885,cu,39,SR
[艶娘大作戦]桃井あずき,2,8,3,0,10,2,cu,life,20,4272,3388,3533,cu,43,SR
