207237,0,13,6,15,2,3,1,13,6,17,6,3,1,4,2,17,10,2,1,7,4,17,2,2,1,13,6,17,7,3,644403
293957,1,6,3,15,6,3,1,9,5,15,9,2,0,9,4,15,8,3,0,7,4,15,9,2,0,6,3,12,7,2,905357
200668,0,9,5,12,5,2,0,4,2,15,2,3,0,6,3,15,9,2,1,6,3,15,3,3,1,11,6,15,7,2,616589
123725,1,11,5,15,1,3,0,9,5,12,4,2,0,4,2,15,6,3,1,6,3,17,2,2,1,6,3,15,7,2,380737
236808,1,7,4,15,7,2,0,6,3,12,4,2,1,9,4,15,8,3,0,13,6,12,3,3,0,9,4,15,6,3,724907
196370,1,4,2,15,9,2,1,11,5,17,2,3,0,7,4,12,9,2,0,7,4,12,1,2,0,7,4,15,7,2,606461
215717,1,9,4,15,9,3,0,7,4,15,8,2,1,9,4,15,9,3,1,4,2,15,1,3,0,9,5,15,5,2,661564
134914,1,7,3,17,5,3,0,4,2,12,3,2,1,9,5,17,5,2,1,6,3,15,3,3,0,6,3,15,7,3,419800
162822,0,4,2,15,1,3,1,9,5,17,1,2,0,4,2,12,3,2,0,9,5,12,1,2,0,4,2,15,5,2,493049
168347,0,9,4,15,10,3,0,9,4,12,2,3,0,4,2,15,6,3,1,9,4,17,9,3,1,9,4,15,8,3,514985
258099,0,9,5,15,10,2,1,6,3,17,7,3,0,11,5,15,1,3,0,4,2,15,9,2,0,6,3,15,1,2,800684
100630,1,11,6,17,4,2,1,13,6,17,4,3,1,11,6,17,2,2,0,4,2,15,8,3,1,7,4,15,6,2,313594
258220,0,4,2,15,10,2,1,6,3,17,4,3,1,11,6,17,9,2,0,11,6,15,5,2,1,4,2,15,3,2,804541
272195,1,6,3,15,6,2,1,9,5,17,6,2,0,9,4,12,9,3,0,9,4,12,3,3,1,4,2,17,1,3,841520
184653,1,13,6,15,3,3,0,4,2,12,1,3,0,9,5,15,3,2,1,11,5,15,9,3,0,7,3,12,3,3,564875
119937,1,13,6,15,7,3,1,6,3,15,7,3,1,4,2,17,10,2,0,7,3,15,9,3,0,4,2,12,2,2,373152
185722,0,13,6,15,5,3,0,7,4,12,9,2,0,7,4,12,8,2,0,9,5,15,2,2,1,7,4,15,8,2,568566
110986,1,13,6,15,9,3,1,7,3,15,4,3,0,11,5,15,6,3,0,9,5,15,8,2,0,7,4,15,9,2,341666
295054,1,9,4,15,6,3,1,7,3,15,7,3,1,9,4,15,5,3,1,9,4,15,7,3,0,4,2,12,9,3,903787
124054,1,9,5,15,10,2,1,11,6,15,6,2,0,13,6,12,5,3,1,4,2,17,4,3,0,13,6,15,5,3,384638
181378,1,6,3,17,5,2,1,9,4,17,6,3,0,4,2,12,9,2,1,11,6,17,9,2,0,6,3,12,1,2,567298
253349,1,6,3,17,6,2,0,6,3,12,4,2,1,13,6,15,7,3,0,4,2,15,9,3,1,9,5,17,7,2,790818
144618,1,7,4,17,2,2,0,6,3,12,10,3,0,13,6,12,10,3,1,6,3,17,7,2,0,6,3,12,10,3,446960
191201,1,11,6,15,3,2,0,6,3,12,9,2,1,9,5,15,1,2,0,6,3,12,8,3,1,4,2,17,3,2,585297
110913,1,7,3,17,8,3,1,6,3,17,9,3,1,7,4,17,7,2,0,9,5,15,1,2,0,13,6,15,5,3,346479
157412,0,4,2,12,1,2,1,7,3,17,3,3,0,6,3,12,8,2,0,11,6,12,7,2,0,9,4,15,3,3,482777
272295,0,7,4,15,4,2,1,11,6,15,4,2,1,13,6,17,3,3,1,7,3,15,7,3,0,7,3,15,3,3,836877
142010,1,7,3,17,1,3,0,13,6,15,10,3,1,11,5,17,6,3,1,7,3,15,6,3,0,6,3,15,1,2,439885
169936,0,4,2,12,7,2,1,9,5,17,5,2,1,6,3,15,3,3,0,4,2,12,9,2,0,13,6,12,9,3,525044
241638,0,11,5,12,5,3,0,11,6,15,8,2,1,4,2,17,7,3,0,9,4,12,6,3,1,7,3,17,3,3,752852
296490,1,4,2,15,9,3,1,7,4,15,9,2,1,13,6,17,6,3,1,11,6,17,4,2,1,11,5,17,8,3,926885
105982,1,6,3,17,4,3,1,4,2,17,9,2,1,9,5,17,5,2,0,7,4,15,8,2,1,7,4,15,1,2,331204
254090,0,7,4,15,2,2,1,6,3,15,6,3,1,7,4,17,3,2,0,13,6,15,2,3,1,7,3,15,8,3,781952
266381,1,4,2,17,7,2,1,11,5,17,10,3,0,9,4,12,1,3,0,4,2,15,6,2,0,7,4,15,7,2,830723
237577,1,4,2,17,4,2,1,11,5,15,10,3,1,6,3,17,6,2,0,9,5,12,4,2,0,6,3,12,1,3,738057
255841,1,11,6,15,7,2,0,6,3,15,9,2,0,7,4,12,7,2,0,9,5,12,1,2,0,7,3,15,4,3,785961
236395,1,11,6,17,3,2,0,9,4,12,9,3,0,4,2,12,5,3,0,11,6,15,1,2,0,4,2,15,9,2,726888
273300,1,6,3,17,5,3,1,9,4,17,2,3,0,11,5,15,6,3,0,6,3,15,4,2,0,4,2,12,7,2,846392
191567,0,6,3,12,4,2,1,11,5,15,9,3,1,7,3,15,7,3,0,4,2,12,6,2,0,6,3,15,3,2,586019
118985,1,4,2,17,8,2,0,7,3,15,7,3,1,7,3,15,6,3,1,6,3,17,10,3,1,4,2,17,6,2,370674
233215,0,7,3,15,6,3,0,6,3,12,2,2,1,9,4,15,4,3,1,9,4,17,5,3,0,13,6,15,2,3,716595
